date,store_nbr,family,sales,prediction_nb9,prediction_nb11,weighted_gain
2017-08-06,45,12,15190.0,12462.888,14634.829,32991783.789999984
2017-08-06,48,12,14062.0,11685.615,14100.853,32870374.984000016
2017-07-23,47,3,14933.0,12178.968,14136.817,29236559.116999976
2017-07-23,45,3,14755.0,12902.697,14622.926,25381978.89499999
2017-07-23,45,12,15686.0,12630.619,14038.755,22088021.295999978
2017-08-05,47,3,14469.0,10270.384,11716.799,20928178.635000013
2017-08-05,46,12,13244.0,11554.217,13413.366,20136402.747999992
2017-07-31,45,12,11544.0,9732.496,11632.312,19892528.44800001
2017-07-31,47,12,12238.0,9379.406,10932.265,19003888.44199998
2017-08-05,45,12,14189.0,12751.506,14326.271,18448864.147
2017-07-23,47,12,13957.0,12542.825,13862.928,18424677.570999987
2017-07-31,46,12,11039.0,8929.704,10563.611,18036699.37300001
2017-08-13,45,12,12723.0,10817.453,12202.318,17619637.394999996
2017-07-30,44,3,18340.0,14135.158,15089.828,17508647.800000004
2017-08-06,46,12,14233.0,12519.217,14722.2,17429489.83899998
2017-07-30,46,12,16077.0,13685.448,14701.67,16337801.093999993
2017-07-23,44,3,14396.0,13182.0205,14626.962,14151519.93
2017-08-01,48,12,11274.0,9315.736,10493.211,13274853.149999984
2017-07-23,46,12,14753.0,12520.407,13404.288,13039896.393000018
2017-07-23,54,3,8113.0,6014.2676,7615.1396,12987874.536000002
2017-08-05,48,12,11786.0,10597.504,11886.677,12821034.733999996
2017-07-30,47,3,15874.0,12714.04,13448.7,11661992.839999996
2017-08-05,45,3,11802.0,10796.5205,11859.68,11185929.69899999
2017-07-24,47,12,9685.0,8525.3,9696.686,11118515.590000011
2017-07-30,45,3,14893.0,13109.039,13854.955,11108926.987999989
2017-07-31,48,12,10120.0,8043.6465,9124.888,10942163.98000001
2017-07-24,45,12,10864.0,8952.745,9949.928,10833396.111999992
2017-08-06,49,12,9866.0,8779.523,9899.266,10390979.726000011
2017-07-23,44,12,14397.0,13062.093,13768.725,10173380.903999994
2017-08-01,9,12,9823.43,8080.3867,9103.045,10046012.223969001
2017-08-12,40,12,10739.0,5717.2256,6624.075,9738655.706600003
2017-08-01,44,3,10808.0,9170.809,10046.244,9461701.480000015
2017-08-01,46,12,11574.0,10131.89,10870.531,8549030.934000015
2017-07-31,9,12,7676.711,6133.117,7230.4697,8424059.542969696
2017-07-30,52,12,7884.0,10021.636,8971.268,8281101.312000003
2017-07-30,40,12,6297.0,8267.685,6962.4087,8219324.861099998
2017-07-24,46,12,9023.0,7404.5664,8307.223,8144670.501800002
2017-08-01,45,12,12327.0,11289.859,12707.44,8095153.226999989
2017-07-30,50,12,9210.0,10437.824,9562.947,8057617.170000004
2017-08-06,44,30,12913.622,11558.357,12153.135,7680738.265916001
2017-07-23,44,30,13070.116,12106.128,12683.768,7549821.806239993
2017-08-07,45,12,10574.0,9731.454,10443.3955,7528069.4210000085
2017-07-31,47,3,9051.0,7844.8887,8669.711,7465466.63729999
2017-07-30,45,12,16847.0,13909.769,14351.2,7436788.057000011
2017-08-13,52,12,7131.0,5808.994,6834.115,7310137.851000001
2017-08-06,49,3,8989.0,7650.3843,8437.305,7073630.172300004
2017-07-24,44,12,9370.0,8233.64,8977.981,6974475.170000003
2017-08-01,47,12,12456.0,10822.538,11382.441,6974151.768000003
2017-08-06,44,12,13248.0,12120.02,13856.261,6885237.311999988
2017-08-13,47,3,10279.0,9394.524,10039.706,6631825.778000006
2017-08-15,47,12,9389.0,7804.721,8509.568,6617808.482999998
2017-07-31,44,3,10860.0,8861.395,9468.593,6594170.280000005
2017-07-31,45,3,10163.0,8611.029,9241.819,6410718.769999992
2017-08-14,47,12,8946.0,8093.142,8804.606,6364756.943999999
2017-08-03,3,12,7120.0,6145.2393,7019.133,6222123.1439999975
2017-08-02,49,30,10732.584,11356.8125,10674.191,6072877.033931993
2017-08-01,49,12,9366.0,8339.883,8987.605,6066564.251999998
2017-08-06,54,3,8552.0,3906.6394,4615.3335,6060751.9432
2017-07-21,47,12,10005.0,9310.717,9915.733,6053185.079999996
2017-07-30,40,3,5208.0,6720.7573,5587.1553,5903799.216
2017-08-05,50,12,9006.0,7325.463,7978.135,5877964.032000005
2017-07-30,41,12,5829.0,6913.1953,5938.2627,5682882.1254
