date,store_nbr,family,sales,prediction_nb11,weighted_abs_error_nb11
2017-07-30,44,3,18340.0,15089.828,59608154.48000001
2017-08-12,28,12,9841.523,5196.089,45718145.555981986
2017-08-12,40,12,10739.0,6624.075,44190179.575
2017-07-30,45,12,16847.0,14351.2,42046742.59999999
2017-08-13,28,12,11002.664,7253.1445,41254703.21994801
2017-08-05,47,3,14469.0,11716.799,39821596.26899999
2017-07-30,47,3,15874.0,13448.7,38499212.19999999
2017-07-29,44,3,16087.0,13884.031,35439162.30299999
2017-08-04,40,3,8272.0,4196.207,33714959.695999995
2017-08-06,54,3,8552.0,4615.3335,33666371.908
2017-07-27,39,7,5836.0,994.65155,28254109.554199997
2017-08-12,45,12,9917.0,12746.375,28058911.875
2017-08-02,38,3,6925.0,3029.1245,26978937.837500002
2017-08-12,46,12,9218.0,12105.69,26618726.420000006
2017-07-29,40,12,9088.0,6167.9844,26537101.7728
2017-07-23,45,12,15686.0,14038.755,25838685.07000001
2017-08-04,43,3,7612.0,4247.949,25607156.212
2017-07-23,48,12,13469.0,11634.851,24704152.880999994
2017-08-12,44,12,9391.0,11793.414,22561069.874000005
2017-07-29,20,7,6081.0,2437.0278,22158994.948200002
2017-07-30,46,12,16077.0,14701.67,22111180.41
2017-07-28,40,3,6634.0,3313.096,22030877.136
2017-08-12,47,12,9258.0,11618.731,21855647.597999997
2017-08-11,52,12,8464.0,5884.4277,21833499.9472
2017-07-30,48,3,10721.0,8692.692,21745490.06800001
2017-07-29,46,12,14358.0,12869.066,21378114.37199999
2017-08-12,47,3,7833.0,10522.157,21064166.780999996
2017-07-27,30,12,5453.0,1662.0792,20671891.1224
2017-07-21,33,3,5757.0,2199.681,20479485.483
2017-08-02,39,7,6263.0,3015.4963,20339115.673100002
2017-08-11,46,12,9934.0,7902.5527,20180397.4782
2017-07-24,43,3,7380.0,4680.3447,19923456.114000004
2017-07-23,46,12,14753.0,13404.288,19897548.135999992
2017-08-06,47,3,12295.0,13911.042,19869236.389999993
2017-08-12,44,3,9624.0,11686.774,19852136.975999996
2017-08-11,25,3,6318.0,3183.825,19801717.650000002
2017-07-27,21,7,4860.0,788.07355,19789562.547
2017-07-22,44,3,15048.0,13733.944,19773914.68800001
2017-08-01,38,3,6098.0,2905.627,19467090.554
2017-07-30,54,3,4394.0,8776.246,19255588.923999995
2017-08-06,28,12,9061.992,6948.861,19149176.216952004
2017-08-13,54,3,4824.0,8712.416,18757718.783999998
2017-08-11,20,12,7563.633,5117.178,18504087.771015
2017-08-05,11,12,8311.914,10472.828,17961331.32939599
2017-07-29,40,7,5942.0,2924.312,17931102.096
2017-07-19,41,12,6232.0,3383.7834,17750085.8512
2017-07-29,3,3,11796.0,10300.259,17643760.836
2017-08-01,40,7,5411.0,2165.3447,17562240.8283
2017-08-08,54,3,5644.0,2536.1113,17540923.8228
2017-07-30,20,12,9797.383,8014.6963,17465664.368906103
2017-07-22,47,3,13007.0,11664.441,17462664.91299999
2017-08-12,33,3,5257.0,1952.5168,17371668.1824
2017-07-29,52,12,9604.0,7816.1665,17170352.933999997
2017-08-13,47,12,10110.0,11807.845,17165212.94999999
2017-07-29,40,3,7796.0,5598.3906,17132562.882400002
2017-08-06,44,3,12913.0,14238.714,17118944.882
2017-08-01,45,3,9111.0,10973.464,16968909.504
2017-08-01,28,12,7927.625,5797.2593,16888740.3824625
2017-08-11,45,12,11088.0,9567.922,16854624.863999996
2017-07-29,44,12,13931.0,12726.018,16786604.242
2017-07-20,47,12,9547.0,7798.66,16691401.980000002
2017-07-24,44,3,9830.0,8146.6533,16547298.061
2017-07-29,47,12,13578.0,12365.22,16467126.84000001
2017-08-12,48,12,8306.0,10237.014,16039002.283999994
2017-07-31,47,12,12238.0,10932.265,15979584.930000007
2017-08-06,47,12,13166.0,14376.483,15937219.178000003
2017-08-05,3,12,8532.0,10398.079,15921386.027999997
2017-08-13,44,12,9811.0,11425.083,15835768.313000005
2017-07-30,29,12,7025.07,4771.2324,15833366.908631999
2017-07-30,28,12,8365.445,6484.4243,15735575.2097115
2017-07-30,45,3,14893.0,13854.955,15459604.185
2017-07-30,3,3,12750.0,11543.009,15389135.25
2017-07-31,44,3,10860.0,9468.593,15110680.019999992
2017-08-02,51,30,9553.308,7984.8164,14984283.350212812
2017-08-12,45,3,8969.0,10631.363,14909733.746999994
2017-08-01,42,3,5818.0,3265.4648,14850649.793599999
2017-08-11,48,12,8547.0,6840.5054,14585409.3462
2017-07-28,45,3,10576.0,9203.961,14510684.464000007
2017-08-06,45,3,12609.0,13741.124,14274951.515999997
2017-07-30,40,7,5652.0,3163.0234,14067695.7432
