store_nbr,family,nb9_weighted_error,nb11_weighted_error,weighted_gain,avg_sales,promo_days
44,3,326257190.5352,304835137.2911,21422053.2441,9973.607142857143,28
45,12,411969130.6403,270143180.9458,141825949.69449997,11195.82142857143,28
47,3,288773995.79109997,229414959.5275,59359036.26359997,9088.82142857143,28
46,12,301790415.0671,227911937.8002,73878477.2669,9761.07142857143,28
47,12,276666885.02989995,213955979.1188,62710905.91109994,10403.42857142857,28
28,12,194933861.51853558,205936411.1528476,-11002549.634312006,5202.2145,28
44,12,186389613.75039995,197971899.6631,-11582285.912700042,9948.857142857143,28
45,3,217803751.64319995,188647427.1608,29156324.48239995,9342.285714285714,28
40,3,172802620.4536,172308185.294,494435.1596000097,4933.5,28
54,3,157216673.49,165908708.2067,-8692034.716699999,3717.6785714285716,28
3,3,132790881.48409997,163415802.5423,-30624921.05820004,8442.357142857143,27
40,12,179009989.5598,156950541.8796,22059447.680199996,5920.928571428572,28
48,12,204931944.42689997,152285574.66269997,52646369.76420001,8586.57142857143,28
44,30,135200600.40854663,127656885.21430688,7543715.194239749,9569.060214285713,28
43,3,127235844.6846,125740461.70210001,1495382.9824999918,5176.714285714285,28
20,12,136132523.92153,125195259.2405941,10937264.680935903,6063.132321428571,28
11,12,128132066.1915946,113784989.9413076,14347076.250287008,7316.761464285714,28
52,12,137958089.7732,112809555.63329999,25148534.139900018,6374.071428571428,28
50,12,128814047.35389999,106598713.37239999,22215333.981499996,6963.75,28
46,3,90792300.05629997,103812800.96770002,-13020500.911400044,6278.928571428572,28
38,3,92557677.6484,101601153.67220001,-9043476.02380001,2785.535714285714,28
39,12,90187233.3210878,97916611.09651819,-7729377.775430382,5382.468857142857,28
39,7,99040581.11255,95286826.8902,3753754.2223499995,2223.5714285714284,28
3,12,90276806.6933,90983009.79050002,-706203.0972000246,7883.142857142857,27
3,30,87285551.70019524,86310234.18193279,975317.5182624334,7910.240671428571,27
11,3,76578872.43090001,86191680.9429,-9612808.512000004,4563.321428571428,28
40,7,79825486.1846,82160953.6436,-2335467.4590000007,2143.785714285714,28
49,30,112604870.94797501,80037887.91546643,32566983.032508593,7543.972035714286,28
51,30,73454896.638002,79235471.59532021,-5780574.957318214,5625.629535714286,28
45,30,79689704.21275777,77113971.49117582,2575732.721581952,6544.589153571428,28
48,3,69008313.23989998,76025018.33220002,-7016705.092300033,5183.142857142857,28
39,3,80929443.0988,75875983.15990001,5053459.938899996,3778.0714285714284,28
9,12,95070850.5372445,74516991.42218499,20553859.11505951,6600.844607142857,28
20,7,76541213.5121,73295625.92179,3245587.590310003,2014.642857142857,28
49,12,98349711.03940003,72385787.12310001,25963923.91630002,7676.357142857143,28
49,3,81024335.98720002,71260664.2526,9763671.734600017,6814.928571428572,28
51,12,71473157.9562,69460522.08219999,2012635.8740000126,5303.214285714285,28
43,12,68976730.4684744,67330049.4538374,1646681.0146370018,4932.367749999999,28
50,3,55955178.54599999,64932329.7138,-8977151.167800007,4716.464285714285,28
42,3,65443499.4048,64519146.4803,924352.9245000011,2837.1785714285716,28
52,3,61644727.58580001,64503095.0402,-2858367.4543999974,4687.5,28
52,30,70086285.4929325,64112445.56870302,5973839.924229487,5022.187535714285,28
29,12,63636252.09982251,61229970.2610091,2406281.8388134036,4042.248607142857,28
41,12,64335897.482200004,59793421.40630001,4542476.075899999,4072.0714285714284,27
20,3,60022826.4123,59785223.3544,237603.0578999922,4071.3928571428573,28
28,3,59217776.002799995,59710563.425799996,-492787.4230000053,3541.8214285714284,28
33,3,58673019.8809,59443173.0288,-770153.1479000014,2334.1785714285716,28
21,12,55226088.36847391,58903326.08376709,-3677237.715293186,4466.76725,28
31,12,65442353.7811515,58577722.943032905,6864630.838118601,4765.035678571429,28
27,12,53291744.73190001,56803875.3027,-3512130.570799995,4007.25,28
36,12,52221665.64412662,54269733.20457531,-2048067.5604486929,3958.8500714285715,27
29,3,55304998.371999994,53780836.7659,1524161.6060999986,3236.1428571428573,28
30,12,54423770.213999994,53381343.836,1042426.3779999948,2235.0714285714284,28
31,3,51868761.256799996,53194892.3582,-1326131.1014000003,3451.8571428571427,28
51,3,54580737.8269,53131282.6474,1449455.1794999985,4677.928571428572,28
21,3,49020631.1311,50491669.9521,-1471038.8209999981,3326.1428571428573,28
36,3,49152570.5632,50032304.75170001,-879734.1885000045,3589.0,27
14,7,51673322.60657,49418640.83518,2254681.7713900004,1526.2857142857142,28
21,7,49207010.3191,47986930.79826,1220079.5208399969,1827.107142857143,28
47,30,59545701.19254029,46557995.9920972,12987705.20044309,5803.713785714286,28
41,3,48583717.4964,46083636.5332,2500080.963199996,2780.964285714286,27
25,3,55533167.254,45986436.0871,9546731.166899996,2369.035714285714,28
37,3,45329406.0981,42367835.8627,2961570.2354000015,2835.8928571428573,28
8,30,37109743.86890757,41069650.60972216,-3959906.7408145904,4692.438260714285,27
17,12,52576218.164,40951631.507800005,11624586.656199995,4577.035714285715,28
38,12,38702865.776,40949880.2203,-2247014.4442999987,3822.3928571428573,28
27,3,39966557.1273,40464779.634399995,-498222.50709999655,3273.3928571428573,28
14,12,45873598.7866,40336557.8385,5537040.948100006,3025.75,28
8,3,39961986.073699996,39098066.3917,863919.6819999983,4650.214285714285,27
7,30,36249496.00886299,38879579.56371841,-2630083.554855422,4881.657678571429,28
6,12,43500214.0057,38789677.02329999,4710536.982400005,4855.071428571428,28
9,3,40130220.13869999,38587185.3422,1543034.7964999957,3537.8571428571427,28
8,12,42288649.38410001,38585445.0581,3703204.326000007,4911.25,27
34,12,39183847.217917204,38191583.79223529,992263.4256819097,4050.566964285714,28
19,12,36565657.4401,34221792.845400006,2343864.5946999965,3449.0714285714284,28
24,12,35296831.08890001,33868471.54089999,1428359.5480000104,4126.607142857143,28
54,12,47162017.0447,32866131.6695,14295885.3752,3438.6428571428573,28
30,3,32183774.974200003,31808709.9186,375065.0555999997,1653.5357142857142,28
4,12,27160169.120499995,31550309.535899997,-4390140.415400001,3381.035714285714,28
24,30,29321164.55335108,30491073.265225682,-1169908.711874605,3723.308064285714,28
24,3,33343638.3914,29648068.087999996,3695570.303400002,3570.464285714286,28
37,12,39225089.0197,28116002.5123,11109086.507399997,3551.6071428571427,28
22,12,28936905.8877,27410244.206299998,1526661.681400002,2614.285714285714,28
46,7,27408046.809400003,27294621.3902,113425.41920000239,2473.035714285714,28
25,30,26289841.81948167,24861922.74254924,1427919.0769324326,1831.8890749999998,28
38,7,23242279.90885,23968952.55533,-726672.6464800028,1183.642857142857,28
2,12,27411057.070699997,23930532.288499996,3480524.782200001,3829.6428571428573,28
19,3,25425817.1963,23910757.7556,1515059.4406999983,2660.3214285714284,28
12,7,24967977.25475,23413690.15173,1554287.1030199998,1169.25,28
17,3,22554787.813300002,23286893.525700007,-732105.7124000024,3123.1428571428573,28
42,12,22858030.227800004,22974501.172399998,-116470.94459999597,3116.6428571428573,28
13,12,25712999.378299996,22911662.3065,2801337.071799997,2791.535714285714,28
7,3,22960925.7355,22738993.9155,221931.8200000001,3804.0,28
27,30,21978654.785493948,22665255.43602737,-686600.650533422,2804.2605678571426,28
53,12,21789054.961000007,22251616.3721,-462561.41109999374,3289.0,27
25,12,25104634.051999997,22235245.793899998,2869388.2580999993,2058.6428571428573,28
6,3,20296081.936100002,22185954.810399998,-1889872.8742999951,3523.25,28
33,12,20987815.2933,21269135.6446,-281320.3512999996,3038.8214285714284,28
31,7,21947940.88768,21109181.2909,838759.5967800007,1445.9285714285713,28
47,7,21387962.2506,20073416.781799998,1314545.4688000032,2452.035714285714,28
2,3,19464612.387900002,19793073.853800002,-328461.4659000018,3022.6785714285716,28
12,12,21126508.232799996,19614981.9107,1511526.322099997,2884.714285714286,28
44,7,20829982.268,19186193.6479,1643788.6201,2584.6785714285716,28
46,30,16428709.931783894,19006713.890688594,-2578003.9589047013,2990.603714285714,28
5,12,19610984.1235,18808314.298199996,802669.8253000038,2996.4285714285716,28
7,12,23348415.079000007,18804037.543100003,4544377.535900002,3738.8214285714284,28
18,12,16464168.3129808,18619667.4372628,-2155499.1242819973,2807.8903214285715,28
4,3,17274854.743399996,18523939.9734,-1249085.2300000028,2569.285714285714,28
53,3,23471861.6007,18056599.6565,5415261.944199999,2395.1428571428573,27
9,7,19386521.945499998,17604366.7645,1782155.1809999999,1717.607142857143,28
41,7,17930724.80376,17540883.48668,389841.317079999,1245.5357142857142,27
35,12,20150232.1844,17407324.122399997,2742908.0619999995,1960.9642857142858,28
15,12,18459590.4042,17115685.3572,1343905.0470000005,2658.714285714286,28
48,7,18790957.2954,16955428.246199995,1835529.0492000035,2256.0,28
45,7,19058943.018200003,16854490.4667,2204452.551500003,2699.25,28
16,12,16300750.7619,16754908.359000003,-454157.5971000029,2134.1428571428573,27
10,12,19416910.8361,16651895.9196,2765014.916499999,2645.3571428571427,28
34,3,17109154.468999997,16438977.423099997,670177.0459000004,2463.3571428571427,28
37,30,15898867.81150125,16343058.018536547,-444190.20703529683,2506.8818214285716,28
28,30,16449898.89439861,16053403.1576856,396495.7367130088,1671.7394285714286,28
1,12,20083281.60698,15371960.336469999,4711321.270509999,2344.035714285714,28
26,12,14038544.1577,15133080.7854,-1094536.6276999994,1591.75,28
