date,store_nbr,family,sales,prediction_nb9,prediction_nb11,weighted_abs_error_nb9,weighted_abs_error_nb11
2017-07-30,44,3,18340.0,14135.158,15089.828,77116802.28000002,59608154.48000001
2017-08-12,28,12,9841.523,5398.065,5196.089,43730394.10653399,45718145.555981986
2017-08-12,40,12,10739.0,5717.2256,6624.075,53928835.281600006,44190179.575
2017-07-30,45,12,16847.0,13909.769,14351.2,49483530.657,42046742.59999999
2017-08-13,28,12,11002.664,7654.004,7253.1445,36844180.83024001,41254703.21994801
2017-08-05,47,3,14469.0,10270.384,11716.799,60749774.904,39821596.26899999
2017-07-30,47,3,15874.0,12714.04,13448.7,50161205.039999984,38499212.19999999
2017-07-29,44,3,16087.0,13581.903,13884.031,40299495.438999996,35439162.30299999
2017-08-04,40,3,8272.0,4489.1323,4196.207,31291881.6144,33714959.695999995
2017-08-06,54,3,8552.0,3906.6394,4615.3335,39727123.8512,33666371.908
2017-07-27,39,7,5836.0,982.4146,994.65155,28325524.3944,28254109.554199997
2017-08-12,45,12,9917.0,10787.185,12746.375,8629624.644999996,28058911.875
2017-08-02,38,3,6925.0,3036.8906,3029.1245,26925157.595,26978937.837500002
2017-08-12,46,12,9218.0,10719.615,12105.69,13841887.069999998,26618726.420000006
2017-07-29,40,12,9088.0,6088.219,6167.9844,27262009.728,26537101.7728
2017-07-23,45,12,15686.0,12630.619,14038.755,47926706.36599999,25838685.07000001
2017-08-04,43,3,7612.0,4120.353,4247.949,26578416.963999998,25607156.212
2017-07-23,48,12,13469.0,11787.892,11634.851,22642843.652000003,24704152.880999994
2017-08-12,44,12,9391.0,11029.415,11793.414,15386355.265000008,22561069.874000005
2017-07-29,20,7,6081.0,2260.3826,2437.0278,23233174.4094,22158994.948200002
2017-07-30,46,12,16077.0,13685.448,14701.67,38448981.50399999,22111180.41
2017-07-28,40,3,6634.0,3332.6694,3313.096,21901027.2004,22030877.136
2017-08-12,47,12,9258.0,10327.893,11618.731,9905069.394,21855647.597999997
2017-08-11,52,12,8464.0,6134.975,5884.4277,19712867.599999998,21833499.9472
2017-07-30,48,3,10721.0,8628.465,8692.692,22434067.735,21745490.06800001
2017-07-29,46,12,14358.0,13125.27,12869.066,17699537.339999992,21378114.37199999
2017-08-12,47,3,7833.0,10325.524,10522.157,19523940.491999995,21064166.780999996
2017-07-27,30,12,5453.0,1743.0881,1662.0792,20230149.5907,20671891.1224
2017-07-21,33,3,5757.0,2187.1272,2199.681,20551757.7096,20479485.483
2017-08-02,39,7,6263.0,2663.9429,3015.4963,22540894.6173,20339115.673100002
2017-08-11,46,12,9934.0,8234.307,7902.5527,16884750.261999995,20180397.4782
2017-07-24,43,3,7380.0,4586.0806,4680.3447,20619125.172,19923456.114000004
2017-07-23,46,12,14753.0,12520.407,13404.288,32937444.52900001,19897548.135999992
2017-08-06,47,3,12295.0,11425.267,13911.042,10693367.235000001,19869236.389999993
2017-08-12,44,3,9624.0,11438.161,11686.774,17459485.464,19852136.975999996
2017-08-11,25,3,6318.0,2749.1284,3183.825,22548130.768799998,19801717.650000002
