date,store_nbr,family,sales,prediction_nb11,weighted_abs_error_nb11
2017-07-30,44,3,18340.0,15089.828,59608154.48000001
2017-08-12,28,12,9841.523,5196.089,45718145.555981986
2017-08-12,40,12,10739.0,6624.075,44190179.575
2017-07-30,45,12,16847.0,14351.2,42046742.59999999
2017-08-13,28,12,11002.664,7253.1445,41254703.21994801
2017-08-05,47,3,14469.0,11716.799,39821596.26899999
2017-07-30,47,3,15874.0,13448.7,38499212.19999999
2017-07-29,44,3,16087.0,13884.031,35439162.30299999
2017-08-04,40,3,8272.0,4196.207,33714959.695999995
2017-08-06,54,3,8552.0,4615.3335,33666371.908
2017-07-27,39,7,5836.0,994.65155,28254109.554199997
2017-08-02,38,3,6925.0,3029.1245,26978937.837500002
2017-07-29,40,12,9088.0,6167.9844,26537101.7728
2017-07-23,45,12,15686.0,14038.755,25838685.07000001
2017-08-04,43,3,7612.0,4247.949,25607156.212
2017-07-23,48,12,13469.0,11634.851,24704152.880999994
2017-07-29,20,7,6081.0,2437.0278,22158994.948200002
2017-07-30,46,12,16077.0,14701.67,22111180.41
2017-07-28,40,3,6634.0,3313.096,22030877.136
2017-08-11,52,12,8464.0,5884.4277,21833499.9472
2017-07-30,48,3,10721.0,8692.692,21745490.06800001
2017-07-29,46,12,14358.0,12869.066,21378114.37199999
2017-07-27,30,12,5453.0,1662.0792,20671891.1224
2017-07-21,33,3,5757.0,2199.681,20479485.483
2017-08-02,39,7,6263.0,3015.4963,20339115.673100002
2017-08-11,46,12,9934.0,7902.5527,20180397.4782
2017-07-24,43,3,7380.0,4680.3447,19923456.114000004
2017-07-23,46,12,14753.0,13404.288,19897548.135999992
2017-08-11,25,3,6318.0,3183.825,19801717.650000002
2017-07-27,21,7,4860.0,788.07355,19789562.547
2017-07-22,44,3,15048.0,13733.944,19773914.68800001
2017-08-01,38,3,6098.0,2905.627,19467090.554
2017-08-06,28,12,9061.992,6948.861,19149176.216952004
2017-08-11,20,12,7563.633,5117.178,18504087.771015
2017-07-29,40,7,5942.0,2924.312,17931102.096
2017-07-19,41,12,6232.0,3383.7834,17750085.8512
2017-07-29,3,3,11796.0,10300.259,17643760.836
2017-08-01,40,7,5411.0,2165.3447,17562240.8283
2017-08-08,54,3,5644.0,2536.1113,17540923.8228
2017-07-30,20,12,9797.383,8014.6963,17465664.368906103
2017-07-22,47,3,13007.0,11664.441,17462664.91299999
2017-08-12,33,3,5257.0,1952.5168,17371668.1824
2017-07-29,52,12,9604.0,7816.1665,17170352.933999997
2017-07-29,40,3,7796.0,5598.3906,17132562.882400002
2017-08-01,28,12,7927.625,5797.2593,16888740.3824625
2017-08-11,45,12,11088.0,9567.922,16854624.863999996
2017-07-29,44,12,13931.0,12726.018,16786604.242
2017-07-20,47,12,9547.0,7798.66,16691401.980000002
2017-07-24,44,3,9830.0,8146.6533,16547298.061
2017-07-29,47,12,13578.0,12365.22,16467126.84000001
2017-07-31,47,12,12238.0,10932.265,15979584.930000007
2017-07-30,29,12,7025.07,4771.2324,15833366.908631999
2017-07-30,28,12,8365.445,6484.4243,15735575.2097115
2017-07-30,45,3,14893.0,13854.955,15459604.185
2017-07-30,3,3,12750.0,11543.009,15389135.25
2017-07-31,44,3,10860.0,9468.593,15110680.019999992
2017-08-02,51,30,9553.308,7984.8164,14984283.350212812
2017-08-01,42,3,5818.0,3265.4648,14850649.793599999
2017-08-11,48,12,8547.0,6840.5054,14585409.3462
2017-07-28,45,3,10576.0,9203.961,14510684.464000007
2017-07-30,40,7,5652.0,3163.0234,14067695.7432
2017-07-28,39,7,4822.0,1921.5925,13985764.965000002
2017-07-29,52,3,7592.0,5752.384,13966364.672
2017-07-21,54,3,5262.0,2626.6797,13867055.418599999
2017-07-24,28,12,6119.406,3923.2961,13438888.0987194
2017-08-04,11,3,7066.0,5168.463,13407996.442000002
2017-08-01,47,12,12456.0,11382.441,13372250.903999992
2017-07-27,14,7,4042.0,760.77625,13262706.3975
2017-07-30,14,7,4509.0,1633.3303,12966394.6773
2017-08-06,28,3,7153.0,5372.616,12735086.752
2017-08-11,47,12,10297.0,9065.43,12681476.289999997
2017-08-15,40,3,6845.0,5004.278,12599742.089999998
2017-07-29,45,12,13750.0,12844.94,12444574.999999993
2017-07-21,11,3,6251.0,4287.2573,12275355.6177
2017-07-28,45,12,11241.0,10160.902,12141381.617999999
2017-08-10,54,3,4686.0,2119.8865,12024807.861
2017-08-14,40,3,6386.0,4508.8403,11987541.8442
2017-07-23,47,3,14933.0,14136.817,11889400.739000013
2017-07-28,11,12,7299.141,5675.796,11849024.046644995
2017-08-11,40,12,6948.0,5263.3213,11705147.607600003
